Restaurant ID,Restaurant,country,City,Address,Locality,Cuisines,Average Cost for two,Table booking,Online delivery,delivering now,rating,Rating color,Rating text,Votes,Price Range
845,Milan Food,India,New Delhi,"5, Yashwant Place, Food Plaza, Near Chanakya Cinema, Chanakyapuri, New Delhi",Chanakyapuri,Indian,650,No,No,No,0,White,Not rated,2,mid-range
1129,Republic of Chicken,India,New Delhi,"451 & 452, Ground Floor, Lila Ram Market, Masjid Moth, South Extension 2, New Delhi",South Extension 2,Fast Food,400,No,No,No,0,White,Not rated,1,lower
1973,Nik's Chawla Chik Inn,India,New Delhi,"C-159, Shop 27, Naraina Industrial Area, Phase 1, Naraina, New Delhi",Naraina,Fast Food,600,No,No,No,0,White,Not rated,2,mid-range
2703,Paras Chicken Point,India,New Delhi,"DDA Mini Market, Behind Paras Cinema, Nehru Place, New Delhi",Nehru Place,Indian,400,No,No,No,0,White,Not rated,1,lower
3479,K.K. Fast Food Service,India,New Delhi,"44/4, Community Centre, East of Kailash, New Delhi",East of Kailash,Indian,200,No,Yes,No,0,White,Not rated,3,lower
3555,Sahara Restaurant,India,New Delhi,"F-94, Katwaria Sarai, Near Panchayat Ghar, Qutab Institutional Area, New Delhi",Qutab Institutional Area,Indian,400,No,No,No,0,White,Not rated,3,lower
4462,Meghansh Bakery,India,Faridabad,"DSS-28, Sector 31, Faridabad",Sector 31,bakery,200,No,No,No,0,White,Not rated,2,lower
5450,Parantha Point,India,New Delhi,"Shop 7, Fruit Market, Daya Nand Road, Daryaganj, New Delhi",Daryaganj,Indian,100,No,No,No,0,White,Not rated,1,lower
5463,Negi Restaurant,India,New Delhi,"3454, Near Mother Dairy, Daryaganj, New Delhi",Daryaganj,Indian,150,No,No,No,0,White,Not rated,0,lower
5470,Lala Da Shudh Vaishno Dhaba,India,New Delhi,"Main Najafgarh Road, Opposite Metro Pillar 676, Uttam Nagar, New Delhi",Uttam Nagar,Indian,200,No,No,No,0,White,Not rated,1,lower
5483,Raj Rasoi,India,New Delhi,"9, Roshan Garden, Najafgarh, New Delhi",Najafgarh,Indian,150,No,No,No,0,White,Not rated,2,lower
5528,Anupama Restaurant,India,New Delhi,"GF 10, Bajaj House, Building 97, Nehru Place, New Delhi",Nehru Place,Indian,150,No,No,No,0,White,Not rated,1,lower
5702,Sanjay Pandit Bhojnalaya,India,Noida,"Khoda Colony, Deepak Vihar, Sector 58, Noida",Sector 58,Indian,150,No,No,No,0,White,Not rated,2,lower
